case_id,project_name,project_type,implementing_agency,state,district,latitude,longitude,area_acquired_hectares,status,start_date,last_updated,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,legal_dispute_flag,dispute_type,dispute_duration_days,documentation_complete,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_required,rr_progress_percent,cohort_benchmark_days,actual_total_duration_days,delay_days,delay_ratio,risk_category,delay_probability
PA-5364,Murshidabad Solar Park - 3 MW,Renewable Energy,Solar Energy Corporation of India,West Bengal,Murshidabad,24.12022,88.26989,110.34,Compensation Disbursed,2023-01-16,2023-12-14,21,55,62,65,66,63,75,True,Procedural Objection,309,True,0,68,33.9,513906674,411125339,0.8,146,14,True,27,330,443,113,1.342,High,0.49
PA-5365,Bardhaman Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Bardhaman,23.19149,87.80459,29.08,Award Passed,2023-10-26,2024-07-15,24,51,64,63,61,64,75,False,,0,True,4,73,57.5,139692613,134104908,0.96,56,13,True,34,390,439,49,1.126,Low,0.2
PA-5366,Malda Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Malda,24.96682,88.12399,18.16,Declaration Issued,2024-02-27,2024-11-04,29,57,93,72,95,93,81,False,,0,True,1,64,62.0,82626383,39660663,0.48,10,0,False,0,540,560,20,1.037,Low,0.08
PA-5367,NH-1 Hooghly-Malda Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Hooghly,22.89662,88.41891,89.19,Award Passed,2022-11-14,2023-09-18,23,63,84,61,77,82,65,False,,0,True,1,77,72.5,503387111,261761297,0.52,289,78,True,31,420,509,89,1.212,Medium,0.32
PA-5368,Bardhaman Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Bardhaman,23.2712,87.8235,21.51,Preliminary Notification Issued,2024-06-02,2024-10-27,27,56,64,66,68,76,75,False,,0,True,3,52,75.1,183850917,33093165,0.18,218,53,True,82,450,507,57,1.127,Low,0.2
PA-5369,Jalpaiguri Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Jalpaiguri,26.46917,88.77775,13.28,Preliminary Notification Issued,2024-02-23,2024-08-12,25,57,89,65,75,77,69,False,,0,True,0,36,34.4,45547252,20040790,0.44,147,13,True,93,450,521,71,1.158,Low,0.24
PA-5370,Bardhaman Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Bardhaman,23.2881,87.85282,49.7,Under Scrutiny,2023-07-12,2023-09-16,20,46,68,58,59,71,61,False,,0,True,1,34,35.4,439485221,101081600,0.23,204,53,True,69,390,455,65,1.167,Low,0.26
PA-5371,Jalpaiguri Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Jalpaiguri,26.56733,88.68031,44.81,Under Scrutiny,2022-09-26,2023-01-19,32,83,83,94,102,106,94,True,Procedural Objection,240,False,3,60,71.7,278751762,8362552,0.03,78,10,True,31,450,644,194,1.431,Critical,0.61
PA-5372,Hooghly Solar Park - 2 MW,Renewable Energy,Solar Energy Corporation of India,West Bengal,Hooghly,22.8754,88.4406,100.12,Declaration Issued,2023-10-26,2024-05-22,21,59,67,62,72,59,71,True,Ownership Dispute,293,True,2,32,53.3,411662302,329329841,0.8,129,8,True,100,330,454,124,1.376,High,0.54
PA-5373,Jalpaiguri Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Jalpaiguri,26.56671,88.7155,36.97,Award Passed,2022-04-23,2023-04-17,29,65,94,82,89,85,86,True,Ownership Dispute,90,True,3,74,59.7,243060928,221185444,0.91,149,52,True,77,450,615,165,1.367,High,0.52
PA-5374,Jalpaiguri Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Jalpaiguri,26.56396,88.73547,74.29,Closed,2022-07-26,2024-03-28,33,67,105,69,82,95,97,False,,0,True,0,83,35.3,369697276,314242684,0.85,289,37,True,40,540,617,77,1.143,Low,0.22
PA-5375,Kolkata Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Kolkata,22.55397,88.39832,34.59,Preliminary Notification Issued,2023-06-01,2023-09-19,18,38,54,50,47,58,48,False,,0,True,4,67,40.4,252695826,75808747,0.3,98,17,True,88,330,363,33,1.1,Low,0.17
PA-5376,Howrah Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Howrah,22.62116,88.27974,11.36,Preliminary Notification Issued,2024-06-14,2024-12-22,27,68,96,78,100,87,87,True,Environmental Objection,399,True,1,36,96.4,17638490,15874641,0.9,140,7,True,78,390,594,204,1.523,Critical,0.73
PA-5377,NH-2 Bardhaman-Bardhaman Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Bardhaman,23.20376,87.90905,38.74,Possession Taken,2023-07-10,2024-10-28,27,59,68,71,88,75,88,True,Environmental Objection,177,True,0,61,61.7,233180127,158562486,0.68,149,48,True,86,420,520,100,1.238,Medium,0.35
PA-5378,NH-2 Kolkata-Kolkata Widening,Highway,National Highways Authority of India,West Bengal,Kolkata,22.60914,88.37753,23.48,Closed,2024-03-23,2025-05-18,22,44,66,51,71,57,70,False,,0,True,0,63,97.8,99428055,80536724,0.81,240,35,True,69,420,422,2,1.005,Low,0.05
PA-5379,Howrah Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Howrah,22.62856,88.22907,116.7,Closed,2023-06-23,2024-12-20,26,61,88,68,81,82,84,False,,0,True,1,51,74.4,728117674,495120018,0.68,196,5,True,54,540,583,43,1.08,Low,0.14
PA-5380,Jalpaiguri Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Jalpaiguri,26.45809,88.73105,83.63,Declaration Issued,2023-11-12,2024-05-14,22,44,61,57,63,52,57,True,Procedural Objection,46,False,1,78,93.8,218552202,52452528,0.24,257,46,True,79,330,394,64,1.194,Medium,0.29
PA-5381,Murshidabad Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Murshidabad,24.05009,88.22017,52.23,Possession Taken,2023-08-27,2024-08-17,18,45,58,58,60,62,55,False,,0,True,1,15,38.0,376395547,124210530,0.33,270,29,True,79,390,411,21,1.054,Low,0.1
PA-5382,Kolkata Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Kolkata,22.60956,88.37486,3.45,Award Passed,2024-04-21,2025-03-18,27,68,81,70,85,84,93,False,,0,True,2,60,37.5,22159843,1994385,0.09,128,23,True,70,450,544,94,1.209,Medium,0.31
PA-5383,Hooghly-Jalpaiguri Doubling Project,Railway,Ministry of Railways / RVNL,West Bengal,Hooghly,22.90769,88.36902,21.1,Compensation Disbursed,2023-04-02,2024-07-25,35,78,103,90,87,87,101,True,Environmental Objection,317,True,0,89,83.0,54100020,41657015,0.77,127,2,True,21,480,672,192,1.4,High,0.57
PA-5384,Bardhaman Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Bardhaman,23.21301,87.86463,40.17,Proposed,2023-08-08,2023-08-25,17,44,58,51,51,67,60,False,,0,True,1,38,51.2,135747967,2714959,0.02,104,16,True,68,330,400,70,1.212,Medium,0.32
PA-5385,Kolkata Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Kolkata,22.53411,88.33205,8.58,Award Passed,2024-03-20,2024-11-29,18,47,69,52,68,61,62,False,,0,True,0,23,20.9,75166831,9020019,0.12,57,21,True,49,330,411,81,1.245,Medium,0.36
PA-5386,Jalpaiguri Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Jalpaiguri,26.47158,88.70659,31.09,Possession Taken,2022-07-19,2024-05-07,34,83,114,87,101,121,118,True,Procedural Objection,292,True,1,86,75.0,97146239,42744345,0.44,266,54,True,46,540,731,191,1.354,High,0.51
PA-5387,NH-3 Hooghly-Kolkata Widening,Highway,National Highways Authority of India,West Bengal,Hooghly,22.89975,88.43257,61.28,Possession Taken,2024-03-07,2025-04-12,21,55,61,59,65,63,77,False,,0,True,1,78,34.8,299618387,272652732,0.91,113,3,True,94,420,464,44,1.105,Low,0.17
PA-5388,Howrah Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Howrah,22.63874,88.31253,45.49,Award Passed,2022-03-31,2022-11-03,16,42,53,45,61,59,47,False,,0,True,1,59,79.3,172382171,32752612,0.19,272,65,True,98,330,356,26,1.079,Low,0.14
PA-5389,Bardhaman Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Bardhaman,23.25475,87.86208,46.36,Award Passed,2022-12-30,2023-09-22,23,56,69,58,60,69,67,False,,0,True,1,8,51.5,177828012,8891400,0.05,253,94,True,2,390,439,49,1.126,Low,0.2
