case_id,project_name,project_type,implementing_agency,state,district,latitude,longitude,area_acquired_hectares,status,start_date,last_updated,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,legal_dispute_flag,dispute_type,dispute_duration_days,documentation_complete,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_required,rr_progress_percent,cohort_benchmark_days,actual_total_duration_days,delay_days,delay_ratio,risk_category,delay_probability
PA-6001,North Delhi Highway Development Project,Highway,Delhi Development Authority,Delhi,North Delhi,28.77576,77.17977,410.38,Under Scrutiny,2023-02-11,2023-06-01,22,58,120,110,114,47,113,True,Environmental Objection,289,True,0,21,46.9,155006691,52702274,0.34,302,66,False,0,529,728,199,1.376,High,0.48
PA-6002,New Delhi Industrial Corridor Development Project,Industrial Corridor,NHAI,Delhi,New Delhi,28.62297,77.15031,136.41,Under Scrutiny,2023-04-10,2024-06-13,54,56,103,98,94,80,99,False,,0,True,3,33,18.8,281724977,126776239,0.45,300,100,False,0,529,584,55,1.104,Medium,0.38
PA-6003,South Delhi Urban Development Development Project,Urban Development,Delhi Metro Rail Corporation,Delhi,South Delhi,28.55634,77.14456,216.15,Closed,2022-12-25,2024-10-23,41,35,125,39,111,80,83,False,,0,False,0,46,61.8,158598835,38063720,0.24,234,27,True,62,557,514,-43,0.923,Medium,0.37
PA-6004,East Delhi Irrigation Development Project,Irrigation,PWD Delhi,Delhi,East Delhi,28.5589,77.21228,386.31,Under Scrutiny,2023-02-12,2024-05-17,54,44,103,37,67,76,56,True,Compensation Dispute,325,False,2,67,34.2,494240403,425046746,0.86,197,11,True,21,443,599,156,1.352,Critical,0.67
PA-6005,East Delhi Urban Development Development Project,Urban Development,Delhi Metro Rail Corporation,Delhi,East Delhi,28.56079,77.26917,16.66,Preliminary Notification Issued,2022-09-27,2023-09-10,24,59,124,59,41,102,115,False,,0,False,0,45,70.0,465227600,325659320,0.7,214,92,True,22,426,524,98,1.23,Medium,0.38
PA-6006,East Delhi Irrigation Development Project,Irrigation,NHAI,Delhi,East Delhi,28.63343,77.29487,232.33,Proposed,2023-08-04,2024-03-05,28,86,60,44,83,46,53,False,,0,False,0,81,43.4,508400257,238948120,0.47,266,80,True,8,380,400,20,1.053,High,0.46
PA-6007,North Delhi Railway Development Project,Railway,PWD Delhi,Delhi,North Delhi,28.7223,77.12785,24.35,Preliminary Notification Issued,2022-06-15,2024-01-24,34,40,58,43,83,73,101,False,,0,False,2,87,41.0,211900842,50856202,0.24,269,120,True,61,557,432,-125,0.776,High,0.52
PA-6008,West Delhi Highway Development Project,Highway,Delhi Metro Rail Corporation,Delhi,West Delhi,28.64708,77.10351,415.79,Under Scrutiny,2022-12-31,2023-03-30,29,54,70,81,69,65,106,False,,0,True,1,56,87.2,461925851,355682905,0.77,292,77,True,81,506,474,-32,0.937,Low,0.15
PA-6009,North Delhi Urban Development Development Project,Urban Development,Delhi Metro Rail Corporation,Delhi,North Delhi,28.69966,77.14758,208.6,Closed,2024-03-12,2024-12-01,45,30,101,74,122,50,55,False,,0,False,1,54,91.2,471524801,99020208,0.21,72,10,True,26,479,477,-2,0.996,High,0.48
PA-6010,South Delhi Highway Development Project,Highway,PWD Delhi,Delhi,South Delhi,28.51393,77.20723,228.27,Closed,2024-03-29,2024-09-10,45,74,59,100,110,56,42,True,Environmental Objection,111,True,2,26,12.3,579669927,463735941,0.8,94,27,False,0,383,541,158,1.413,High,0.56
