project_id,risk_category,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,area_acquired_hectares,dispute_duration_days,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_progress_percent,cohort_benchmark_days,legal_dispute_flag,documentation_complete,rr_required,project_type,state,status,dispute_type
PRJ-00000,Medium,57,78,125,82,46,52,36,5.6,11,1,43.9,4.9,74031.0,61090.0,0.8252,49,23,49.0,416,1,1,1,Highway,Karnataka,on_hold,compensation
PRJ-00001,Medium,59,44,113,49,52,64,50,2.71,66,1,33.3,3.4,75120.0,51157.0,0.681,219,38,75.7,701,1,1,0,Railway,Andhra Pradesh,planned,legal_challenge
PRJ-00002,Medium,77,51,82,77,38,119,46,1.63,30,1,33.6,4.1,610871.0,426999.0,0.699,57,4,67.7,449,0,1,1,Power Line,Tamil Nadu,completed,boundary
PRJ-00003,Low,54,42,133,59,48,74,37,7.14,24,0,45.1,4.2,63881.0,60138.0,0.9414,287,67,100.0,721,1,1,0,Power Line,Maharashtra,completed,legal_challenge
PRJ-00004,High,72,42,114,85,92,107,78,1.95,97,0,44.2,1.5,270296.0,0.0,0.0,442,82,46.2,451,0,1,0,Industrial,Telangana,planned,none
PRJ-00005,High,41,46,77,108,71,100,79,2.92,240,0,46.6,0.8,85793.0,44003.0,0.5129,316,160,37.9,673,0,0,1,Resettlement,Tamil Nadu,on_hold,compensation
PRJ-00006,Medium,87,44,147,83,87,118,49,3.65,9,0,28.5,5.6,273287.0,165940.0,0.6072,425,10,55.5,561,1,1,1,Resettlement,Uttar Pradesh,active,title_dispute
PRJ-00007,High,107,57,129,111,73,138,83,4.42,132,4,21.5,0.6,85058.0,26036.0,0.3061,78,16,39.0,526,0,1,0,Industrial,Karnataka,on_hold,compensation
PRJ-00008,Medium,46,52,167,57,74,98,43,2.36,15,1,39.8,5.8,182653.0,106414.0,0.5826,257,18,69.6,424,0,1,1,Railway,Uttar Pradesh,completed,boundary
PRJ-00009,Medium,41,59,126,39,70,65,61,6.88,91,3,26.3,1.6,43120.0,33681.0,0.7811,133,103,43.4,405,0,0,0,Railway,Uttar Pradesh,planned,encroachment
PRJ-00010,Medium,87,56,110,61,44,117,74,1.42,23,2,24.2,3.8,1010147.0,772863.0,0.7651,6,4,59.9,768,0,1,1,Power Line,Rajasthan,on_hold,none
PRJ-00011,Medium,34,47,123,103,82,70,67,2.46,51,1,46.1,0.9,667172.0,295757.0,0.4433,196,119,37.9,676,1,1,0,Power Line,Karnataka,on_hold,title_dispute
PRJ-00012,Low,43,38,160,57,90,77,63,39.95,3,0,32.1,3.8,704871.0,540143.0,0.7663,127,5,100.0,690,0,1,1,Railway,Maharashtra,on_hold,encroachment
PRJ-00013,High,107,82,159,89,39,131,61,3.12,185,1,26.2,5.0,75399.0,28267.0,0.3749,140,59,39.8,710,0,0,0,Railway,Karnataka,active,compensation
PRJ-00014,Critical,97,48,153,149,63,116,86,9.01,330,4,43.6,3.3,65785.0,7098.0,0.1079,229,164,58.3,631,1,0,1,Power Line,Gujarat,on_hold,encroachment
PRJ-00015,Medium,84,58,122,102,93,63,48,5.11,7,0,7.0,3.1,278161.0,190652.0,0.6854,122,6,94.3,416,1,1,1,Railway,Telangana,active,legal_challenge
PRJ-00016,High,53,61,140,70,82,55,40,30.3,157,3,40.1,5.3,315878.0,103734.0,0.3284,129,80,58.9,608,0,0,1,Resettlement,Gujarat,completed,compensation
PRJ-00017,Medium,70,41,73,133,93,101,56,3.43,12,0,18.8,1.6,1087737.0,1041399.0,0.9574,36,11,68.8,573,0,0,1,Resettlement,Uttar Pradesh,completed,encroachment
PRJ-00018,Medium,67,49,106,105,37,56,38,3.71,59,2,10.4,6.9,139013.0,125751.0,0.9046,132,92,36.4,438,0,1,0,Industrial,Gujarat,completed,compensation
PRJ-00019,High,99,42,130,121,91,136,76,3.81,112,1,37.2,5.1,1111045.0,555745.0,0.5002,213,82,0.0,509,0,1,1,Power Line,Maharashtra,planned,none
PRJ-00020,Medium,101,50,160,118,51,46,40,3.04,101,2,22.5,3.6,95489.0,85434.0,0.8947,343,197,76.1,479,0,1,1,Border Infrastructure,Maharashtra,on_hold,encroachment
PRJ-00021,Low,74,64,80,43,76,98,84,1.07,12,0,47.7,0.6,84181.0,84181.0,1.0,475,324,95.3,480,0,1,1,Highway,Andhra Pradesh,on_hold,none
PRJ-00022,High,77,82,129,41,109,63,61,20.69,177,0,29.7,3.1,27038.0,7111.0,0.263,487,346,23.2,526,1,1,1,Highway,Tamil Nadu,planned,title_dispute
PRJ-00023,High,52,64,83,102,78,126,58,7.32,189,5,10.6,5.2,220959.0,54886.0,0.2484,166,124,37.7,504,0,1,1,Railway,Maharashtra,planned,encroachment
PRJ-00024,Medium,44,84,101,71,87,127,84,2.63,11,0,9.6,7.3,1715214.0,1166346.0,0.68,239,118,53.3,688,0,0,1,Power Line,Tamil Nadu,on_hold,encroachment
PRJ-00025,High,38,68,86,68,58,120,78,6.65,166,3,25.6,3.1,323358.0,53516.0,0.1655,85,29,12.3,678,0,1,0,Industrial,Rajasthan,on_hold,none
PRJ-00026,Low,37,52,160,71,68,87,48,11.71,7,0,54.6,5.4,703951.0,512828.0,0.7285,64,45,80.7,780,1,1,1,Highway,Andhra Pradesh,on_hold,title_dispute
PRJ-00027,Medium,66,50,117,49,108,138,63,0.97,120,1,49.8,2.5,1491045.0,1331503.0,0.893,263,102,58.7,426,1,0,1,Resettlement,Rajasthan,active,title_dispute
PRJ-00028,Medium,111,43,117,72,107,111,70,0.63,22,1,20.0,1.3,256151.0,170981.0,0.6675,87,51,67.3,682,0,1,1,Resettlement,Uttar Pradesh,planned,none
PRJ-00029,Low,77,76,134,47,54,40,77,1.5,6,0,41.9,4.4,103177.0,103177.0,1.0,80,27,98.1,421,1,1,1,Highway,Karnataka,active,legal_challenge
PRJ-00030,Medium,65,70,110,81,92,69,40,14.75,12,1,16.7,6.3,1420484.0,989509.0,0.6966,404,180,85.8,608,1,1,1,Resettlement,Maharashtra,active,title_dispute
PRJ-00031,High,90,79,130,118,108,140,51,4.43,10,1,19.2,3.9,297949.0,0.0,0.0,382,282,21.9,800,0,1,0,Industrial,Tamil Nadu,active,compensation
PRJ-00032,Low,38,37,74,45,41,82,38,8.15,2,0,31.1,2.6,79737.0,62665.0,0.7859,118,18,77.3,635,1,1,1,Resettlement,Gujarat,active,title_dispute
PRJ-00033,Low,46,37,78,70,47,64,52,4.13,32,0,49.0,2.0,64180.0,44977.0,0.7008,447,24,72.0,795,1,1,0,Industrial,Gujarat,planned,title_dispute
PRJ-00034,Low,52,49,110,60,57,93,33,8.86,15,0,54.2,1.9,183363.0,103307.0,0.5634,302,232,91.5,535,0,1,1,Power Line,Uttar Pradesh,on_hold,none
PRJ-00035,High,74,64,76,94,69,95,49,5.34,87,3,42.4,5.1,161952.0,65607.0,0.4051,27,15,18.1,400,0,1,0,Border Infrastructure,West Bengal,planned,encroachment
PRJ-00036,Critical,87,50,122,100,100,118,64,4.58,160,4,18.0,3.3,63641.0,0.0,0.0,344,233,0.0,768,0,1,1,Resettlement,Gujarat,completed,none
PRJ-00037,Medium,50,73,78,80,62,136,40,6.12,19,0,52.6,3.2,73213.0,53021.0,0.7242,220,117,81.7,594,1,1,1,Resettlement,Uttar Pradesh,completed,title_dispute
PRJ-00038,Medium,80,53,141,68,67,87,61,3.11,0,2,38.6,3.3,243194.0,78236.0,0.3217,151,25,45.9,696,0,1,1,Railway,Tamil Nadu,on_hold,encroachment
PRJ-00039,Low,53,39,72,139,52,102,42,10.86,7,0,37.8,6.2,34581.0,31279.0,0.9045,268,142,74.0,717,1,1,0,Railway,Gujarat,completed,title_dispute
PRJ-00040,High,110,52,87,122,91,129,50,2.79,60,0,14.0,3.0,768643.0,282630.0,0.3677,28,5,14.5,643,0,1,1,Power Line,Gujarat,on_hold,compensation
PRJ-00041,Medium,65,70,110,76,68,71,66,1.27,29,0,54.5,2.0,187856.0,57221.0,0.3046,462,277,77.2,794,0,1,1,Industrial,Telangana,completed,encroachment
PRJ-00042,Medium,46,66,115,78,94,102,41,1.87,15,1,45.9,0.9,297465.0,285061.0,0.9583,73,46,67.4,741,1,1,0,Border Infrastructure,Andhra Pradesh,planned,legal_challenge
PRJ-00043,Medium,49,72,88,80,89,61,49,9.69,36,3,40.3,6.3,248065.0,49191.0,0.1983,235,48,77.8,526,1,1,1,Border Infrastructure,West Bengal,completed,legal_challenge
PRJ-00044,Medium,70,79,91,92,72,94,35,18.65,160,1,55.7,3.3,29448.0,25879.0,0.8788,125,27,48.3,563,0,0,1,Border Infrastructure,Andhra Pradesh,active,boundary
PRJ-00045,Medium,99,75,101,48,110,107,39,34.16,45,1,26.9,2.5,67901.0,39627.0,0.5836,174,75,53.8,612,1,0,0,Power Line,Uttar Pradesh,active,title_dispute
PRJ-00046,Medium,71,76,103,73,83,80,47,1.82,1,1,14.7,1.8,128564.0,127201.0,0.9894,157,94,78.9,614,1,1,0,Railway,Uttar Pradesh,planned,legal_challenge
PRJ-00047,Medium,35,60,86,129,48,71,39,4.48,67,0,37.7,3.7,447495.0,274001.0,0.6123,204,54,64.5,747,0,1,0,Industrial,Telangana,completed,compensation
PRJ-00048,High,43,61,129,53,92,92,63,0.85,200,0,35.8,0.9,111054.0,14059.0,0.1266,47,24,29.1,469,0,0,1,Railway,Tamil Nadu,planned,encroachment
PRJ-00049,Medium,76,52,71,57,80,92,35,2.55,65,1,42.0,1.5,133851.0,55963.0,0.4181,390,296,76.9,615,0,0,1,Industrial,West Bengal,completed,boundary
PRJ-00050,High,52,53,142,123,98,90,69,2.65,216,0,54.3,2.8,2296807.0,563407.0,0.2453,391,9,50.7,526,0,0,1,Highway,Andhra Pradesh,on_hold,compensation
PRJ-00051,High,67,60,135,80,88,92,66,1.1,192,2,57.2,1.3,155370.0,40054.0,0.2578,243,135,32.2,792,0,1,0,Industrial,Tamil Nadu,active,encroachment
PRJ-00052,High,65,63,132,76,55,118,85,1.6,92,3,20.0,4.8,372427.0,233549.0,0.6271,208,156,49.2,501,1,1,0,Industrial,Karnataka,on_hold,none
PRJ-00053,Medium,61,34,94,126,99,101,66,2.01,36,0,55.3,3.0,4654.0,2341.0,0.5031,182,77,29.1,738,1,1,0,Power Line,Karnataka,on_hold,title_dispute
PRJ-00054,Low,38,54,81,61,48,58,59,7.09,19,0,31.2,0.5,212895.0,165909.0,0.7793,367,44,91.3,490,0,1,1,Highway,West Bengal,completed,encroachment
PRJ-00055,Medium,72,61,105,106,49,51,66,21.76,131,1,28.9,2.2,361817.0,249220.0,0.6888,170,115,32.9,444,0,1,0,Railway,Rajasthan,completed,encroachment
PRJ-00056,Low,49,33,145,40,100,61,36,10.5,4,0,45.3,1.9,800759.0,766567.0,0.9573,254,43,72.2,532,0,1,0,Railway,Telangana,completed,boundary
PRJ-00057,High,71,88,173,53,103,142,54,8.63,40,2,6.9,2.4,118195.0,5201.0,0.044,373,121,15.4,684,1,1,0,Railway,Rajasthan,planned,legal_challenge
PRJ-00058,Medium,91,70,96,108,39,85,45,1.95,60,0,44.9,4.1,9004.0,8213.0,0.9121,161,85,48.3,588,0,1,1,Border Infrastructure,Madhya Pradesh,planned,none
